type_trial,stipic,DV,dotlefttext,dotrighttext,picture,answer,number
0,both_right.png,0,Greater,Smaller,RandomDot34.png,No answer,19
0,both_right.png,0,Greater,Smaller,RandomDot36.png,No answer,21
0,both_right.png,0,Greater,Smaller,RandomDot3.png,No answer,21
0,both_right.png,0,Greater,Smaller,RandomDot22.png,No answer,21
0,both_right.png,0,Greater,Smaller,RandomDot20.png,No answer,19
0,both_right.png,0,Greater,Smaller,RandomDot2.png,No answer,19
0,both_right.png,0,Smaller,Greater,RandomDot22.png,No answer,19
0,both_right.png,0,Smaller,Greater,RandomDot27.png,No answer,19
0,both_right.png,0,Smaller,Greater,RandomDot15.png,No answer,21
0,both_right.png,0,Smaller,Greater,RandomDot5.png,No answer,21
0,both_right.png,0,Smaller,Greater,RandomDot19.png,No answer,21
0,both_right.png,0,Smaller,Greater,RandomDot38.png,No answer,21
0,both_right.png,1,Greater,Smaller,RandomDot30.png,No answer,20
0,both_right.png,1,Greater,Smaller,RandomDot28.png,No answer,21
0,both_right.png,1,Greater,Smaller,RandomDot29.png,No answer,21
0,both_right.png,1,Greater,Smaller,RandomDot35.png,No answer,21
0,both_right.png,1,Greater,Smaller,RandomDot12.png,No answer,21
0,both_right.png,1,Greater,Smaller,RandomDot7.png,No answer,21
0,both_right.png,1,Smaller,Greater,RandomDot5.png,No answer,19
0,both_right.png,1,Smaller,Greater,RandomDot36.png,No answer,19
0,both_right.png,1,Smaller,Greater,RandomDot3.png,No answer,19
0,both_right.png,1,Smaller,Greater,RandomDot8.png,No answer,21
0,both_right.png,1,Smaller,Greater,RandomDot21.png,No answer,20
0,both_right.png,1,Smaller,Greater,RandomDot3.png,No answer,19
0,both_right.png,2,Greater,Smaller,RandomDot25.png,No answer,19
0,both_right.png,2,Greater,Smaller,RandomDot39.png,No answer,20
0,both_right.png,2,Greater,Smaller,RandomDot36.png,No answer,19
0,both_right.png,2,Greater,Smaller,RandomDot28.png,No answer,21
0,both_right.png,2,Greater,Smaller,RandomDot23.png,No answer,19
0,both_right.png,2,Greater,Smaller,RandomDot10.png,No answer,20
0,both_right.png,2,Smaller,Greater,RandomDot24.png,No answer,21
0,both_right.png,2,Smaller,Greater,RandomDot2.png,No answer,20
0,both_right.png,2,Smaller,Greater,RandomDot29.png,No answer,20
0,both_right.png,2,Smaller,Greater,RandomDot25.png,No answer,20
0,both_right.png,2,Smaller,Greater,RandomDot15.png,No answer,21
0,both_right.png,2,Smaller,Greater,RandomDot25.png,No answer,19
0,both_right.png,3,Greater,Smaller,RandomDot3.png,No answer,20
0,both_right.png,3,Greater,Smaller,RandomDot27.png,No answer,20
0,both_right.png,3,Greater,Smaller,RandomDot39.png,No answer,20
0,both_right.png,3,Greater,Smaller,RandomDot17.png,No answer,21
0,both_right.png,3,Greater,Smaller,RandomDot36.png,No answer,20
0,both_right.png,3,Greater,Smaller,RandomDot30.png,No answer,19
0,both_right.png,3,Smaller,Greater,RandomDot11.png,No answer,20
0,both_right.png,3,Smaller,Greater,RandomDot3.png,No answer,21
0,both_right.png,3,Smaller,Greater,RandomDot26.png,No answer,20
0,both_right.png,3,Smaller,Greater,RandomDot13.png,No answer,20
0,both_right.png,3,Smaller,Greater,RandomDot18.png,No answer,20
0,both_right.png,3,Smaller,Greater,RandomDot13.png,No answer,19
1,both_wrong.png,0,Greater,Smaller,RandomDot24.png,No answer,21
1,both_wrong.png,0,Greater,Smaller,RandomDot16.png,No answer,19
1,both_wrong.png,0,Greater,Smaller,RandomDot12.png,No answer,21
1,both_wrong.png,0,Greater,Smaller,RandomDot14.png,No answer,19
1,both_wrong.png,0,Greater,Smaller,RandomDot10.png,No answer,20
1,both_wrong.png,0,Greater,Smaller,RandomDot32.png,No answer,19
1,both_wrong.png,0,Smaller,Greater,RandomDot23.png,No answer,20
1,both_wrong.png,0,Smaller,Greater,RandomDot28.png,No answer,19
1,both_wrong.png,0,Smaller,Greater,RandomDot39.png,No answer,21
1,both_wrong.png,0,Smaller,Greater,RandomDot22.png,No answer,21
1,both_wrong.png,0,Smaller,Greater,RandomDot34.png,No answer,19
1,both_wrong.png,0,Smaller,Greater,RandomDot14.png,No answer,21
1,both_wrong.png,1,Greater,Smaller,RandomDot13.png,No answer,19
1,both_wrong.png,1,Greater,Smaller,RandomDot23.png,No answer,21
1,both_wrong.png,1,Greater,Smaller,RandomDot28.png,No answer,21
1,both_wrong.png,1,Greater,Smaller,RandomDot27.png,No answer,19
1,both_wrong.png,1,Greater,Smaller,RandomDot6.png,No answer,20
1,both_wrong.png,1,Greater,Smaller,RandomDot26.png,No answer,21
1,both_wrong.png,1,Smaller,Greater,RandomDot10.png,No answer,19
1,both_wrong.png,1,Smaller,Greater,RandomDot17.png,No answer,20
1,both_wrong.png,1,Smaller,Greater,RandomDot8.png,No answer,21
1,both_wrong.png,1,Smaller,Greater,RandomDot13.png,No answer,19
1,both_wrong.png,1,Smaller,Greater,RandomDot29.png,No answer,19
1,both_wrong.png,1,Smaller,Greater,RandomDot14.png,No answer,20
1,both_wrong.png,2,Greater,Smaller,RandomDot1.png,No answer,21
1,both_wrong.png,2,Greater,Smaller,RandomDot24.png,No answer,19
1,both_wrong.png,2,Greater,Smaller,RandomDot16.png,No answer,20
1,both_wrong.png,2,Greater,Smaller,RandomDot10.png,No answer,20
1,both_wrong.png,2,Greater,Smaller,RandomDot9.png,No answer,21
1,both_wrong.png,2,Greater,Smaller,RandomDot13.png,No answer,21
1,both_wrong.png,2,Smaller,Greater,RandomDot19.png,No answer,19
1,both_wrong.png,2,Smaller,Greater,RandomDot24.png,No answer,21
1,both_wrong.png,2,Smaller,Greater,RandomDot8.png,No answer,20
1,both_wrong.png,2,Smaller,Greater,RandomDot21.png,No answer,20
1,both_wrong.png,2,Smaller,Greater,RandomDot7.png,No answer,21
1,both_wrong.png,2,Smaller,Greater,RandomDot8.png,No answer,20
1,both_wrong.png,3,Greater,Smaller,RandomDot6.png,No answer,20
1,both_wrong.png,3,Greater,Smaller,RandomDot40.png,No answer,21
1,both_wrong.png,3,Greater,Smaller,RandomDot13.png,No answer,21
1,both_wrong.png,3,Greater,Smaller,RandomDot17.png,No answer,21
1,both_wrong.png,3,Greater,Smaller,RandomDot30.png,No answer,20
1,both_wrong.png,3,Greater,Smaller,RandomDot6.png,No answer,21
1,both_wrong.png,3,Smaller,Greater,RandomDot29.png,No answer,19
1,both_wrong.png,3,Smaller,Greater,RandomDot23.png,No answer,20
1,both_wrong.png,3,Smaller,Greater,RandomDot7.png,No answer,21
1,both_wrong.png,3,Smaller,Greater,RandomDot12.png,No answer,21
1,both_wrong.png,3,Smaller,Greater,RandomDot25.png,No answer,21
1,both_wrong.png,3,Smaller,Greater,RandomDot12.png,No answer,19
2,only_sub_right.png,0,Greater,Smaller,RandomDot26.png,No answer,19
2,only_sub_right.png,0,Greater,Smaller,RandomDot8.png,No answer,20
2,only_sub_right.png,0,Greater,Smaller,RandomDot16.png,No answer,20
2,only_sub_right.png,0,Greater,Smaller,RandomDot21.png,No answer,19
2,only_sub_right.png,0,Greater,Smaller,RandomDot33.png,No answer,21
2,only_sub_right.png,0,Greater,Smaller,RandomDot18.png,No answer,21
2,only_sub_right.png,0,Smaller,Greater,RandomDot16.png,No answer,21
2,only_sub_right.png,0,Smaller,Greater,RandomDot21.png,No answer,21
2,only_sub_right.png,0,Smaller,Greater,RandomDot29.png,No answer,20
2,only_sub_right.png,0,Smaller,Greater,RandomDot17.png,No answer,20
2,only_sub_right.png,0,Smaller,Greater,RandomDot39.png,No answer,19
2,only_sub_right.png,0,Smaller,Greater,RandomDot37.png,No answer,21
2,only_sub_right.png,1,Greater,Smaller,RandomDot3.png,No answer,20
2,only_sub_right.png,1,Greater,Smaller,RandomDot3.png,No answer,19
2,only_sub_right.png,1,Greater,Smaller,RandomDot6.png,No answer,21
2,only_sub_right.png,1,Greater,Smaller,RandomDot4.png,No answer,19
2,only_sub_right.png,1,Greater,Smaller,RandomDot32.png,No answer,19
2,only_sub_right.png,1,Greater,Smaller,RandomDot3.png,No answer,20
2,only_sub_right.png,1,Smaller,Greater,RandomDot15.png,No answer,19
2,only_sub_right.png,1,Smaller,Greater,RandomDot14.png,No answer,20
2,only_sub_right.png,1,Smaller,Greater,RandomDot25.png,No answer,19
2,only_sub_right.png,1,Smaller,Greater,RandomDot27.png,No answer,21
2,only_sub_right.png,1,Smaller,Greater,RandomDot34.png,No answer,19
2,only_sub_right.png,1,Smaller,Greater,RandomDot38.png,No answer,19
2,only_sub_right.png,2,Greater,Smaller,RandomDot21.png,No answer,21
2,only_sub_right.png,2,Greater,Smaller,RandomDot18.png,No answer,19
2,only_sub_right.png,2,Greater,Smaller,RandomDot33.png,No answer,20
2,only_sub_right.png,2,Greater,Smaller,RandomDot16.png,No answer,20
2,only_sub_right.png,2,Greater,Smaller,RandomDot20.png,No answer,20
2,only_sub_right.png,2,Greater,Smaller,RandomDot36.png,No answer,21
2,only_sub_right.png,2,Smaller,Greater,RandomDot34.png,No answer,20
2,only_sub_right.png,2,Smaller,Greater,RandomDot22.png,No answer,19
2,only_sub_right.png,2,Smaller,Greater,RandomDot22.png,No answer,20
2,only_sub_right.png,2,Smaller,Greater,RandomDot37.png,No answer,19
2,only_sub_right.png,2,Smaller,Greater,RandomDot8.png,No answer,21
2,only_sub_right.png,2,Smaller,Greater,RandomDot5.png,No answer,21
2,only_sub_right.png,3,Greater,Smaller,RandomDot20.png,No answer,21
2,only_sub_right.png,3,Greater,Smaller,RandomDot36.png,No answer,20
2,only_sub_right.png,3,Greater,Smaller,RandomDot22.png,No answer,20
2,only_sub_right.png,3,Greater,Smaller,RandomDot26.png,No answer,20
2,only_sub_right.png,3,Greater,Smaller,RandomDot10.png,No answer,19
2,only_sub_right.png,3,Greater,Smaller,RandomDot23.png,No answer,20
2,only_sub_right.png,3,Smaller,Greater,RandomDot25.png,No answer,21
2,only_sub_right.png,3,Smaller,Greater,RandomDot30.png,No answer,20
2,only_sub_right.png,3,Smaller,Greater,RandomDot8.png,No answer,19
2,only_sub_right.png,3,Smaller,Greater,RandomDot7.png,No answer,20
2,only_sub_right.png,3,Smaller,Greater,RandomDot18.png,No answer,20
2,only_sub_right.png,3,Smaller,Greater,RandomDot31.png,No answer,19
3,only_sub_wrong.png,0,Greater,Smaller,RandomDot33.png,No answer,19
3,only_sub_wrong.png,0,Greater,Smaller,RandomDot15.png,No answer,20
3,only_sub_wrong.png,0,Greater,Smaller,RandomDot38.png,No answer,21
3,only_sub_wrong.png,0,Greater,Smaller,RandomDot5.png,No answer,20
3,only_sub_wrong.png,0,Greater,Smaller,RandomDot12.png,No answer,20
3,only_sub_wrong.png,0,Greater,Smaller,RandomDot24.png,No answer,20
3,only_sub_wrong.png,0,Smaller,Greater,RandomDot16.png,No answer,21
3,only_sub_wrong.png,0,Smaller,Greater,RandomDot26.png,No answer,19
3,only_sub_wrong.png,0,Smaller,Greater,RandomDot9.png,No answer,19
3,only_sub_wrong.png,0,Smaller,Greater,RandomDot25.png,No answer,20
3,only_sub_wrong.png,0,Smaller,Greater,RandomDot25.png,No answer,21
3,only_sub_wrong.png,0,Smaller,Greater,RandomDot2.png,No answer,20
3,only_sub_wrong.png,1,Greater,Smaller,RandomDot4.png,No answer,20
3,only_sub_wrong.png,1,Greater,Smaller,RandomDot8.png,No answer,21
3,only_sub_wrong.png,1,Greater,Smaller,RandomDot1.png,No answer,19
3,only_sub_wrong.png,1,Greater,Smaller,RandomDot11.png,No answer,20
3,only_sub_wrong.png,1,Greater,Smaller,RandomDot22.png,No answer,19
3,only_sub_wrong.png,1,Greater,Smaller,RandomDot36.png,No answer,19
3,only_sub_wrong.png,1,Smaller,Greater,RandomDot15.png,No answer,21
3,only_sub_wrong.png,1,Smaller,Greater,RandomDot6.png,No answer,20
3,only_sub_wrong.png,1,Smaller,Greater,RandomDot40.png,No answer,19
3,only_sub_wrong.png,1,Smaller,Greater,RandomDot6.png,No answer,21
3,only_sub_wrong.png,1,Smaller,Greater,RandomDot15.png,No answer,20
3,only_sub_wrong.png,1,Smaller,Greater,RandomDot22.png,No answer,20
3,only_sub_wrong.png,2,Greater,Smaller,RandomDot13.png,No answer,21
3,only_sub_wrong.png,2,Greater,Smaller,RandomDot1.png,No answer,20
3,only_sub_wrong.png,2,Greater,Smaller,RandomDot39.png,No answer,20
3,only_sub_wrong.png,2,Greater,Smaller,RandomDot23.png,No answer,20
3,only_sub_wrong.png,2,Greater,Smaller,RandomDot38.png,No answer,21
3,only_sub_wrong.png,2,Greater,Smaller,RandomDot20.png,No answer,19
3,only_sub_wrong.png,2,Smaller,Greater,RandomDot15.png,No answer,21
3,only_sub_wrong.png,2,Smaller,Greater,RandomDot17.png,No answer,19
3,only_sub_wrong.png,2,Smaller,Greater,RandomDot40.png,No answer,20
3,only_sub_wrong.png,2,Smaller,Greater,RandomDot31.png,No answer,19
3,only_sub_wrong.png,2,Smaller,Greater,RandomDot22.png,No answer,19
3,only_sub_wrong.png,2,Smaller,Greater,RandomDot15.png,No answer,20
3,only_sub_wrong.png,3,Greater,Smaller,RandomDot20.png,No answer,19
3,only_sub_wrong.png,3,Greater,Smaller,RandomDot3.png,No answer,19
3,only_sub_wrong.png,3,Greater,Smaller,RandomDot8.png,No answer,21
3,only_sub_wrong.png,3,Greater,Smaller,RandomDot17.png,No answer,19
3,only_sub_wrong.png,3,Greater,Smaller,RandomDot20.png,No answer,20
3,only_sub_wrong.png,3,Greater,Smaller,RandomDot34.png,No answer,20
3,only_sub_wrong.png,3,Smaller,Greater,RandomDot9.png,No answer,19
3,only_sub_wrong.png,3,Smaller,Greater,RandomDot18.png,No answer,21
3,only_sub_wrong.png,3,Smaller,Greater,RandomDot22.png,No answer,21
3,only_sub_wrong.png,3,Smaller,Greater,RandomDot38.png,No answer,20
3,only_sub_wrong.png,3,Smaller,Greater,RandomDot7.png,No answer,19
3,only_sub_wrong.png,3,Smaller,Greater,RandomDot36.png,No answer,21
4,both_right.png,10,Greater,Smaller,RandomDot41.png,LeftButton,5
4,both_right.png,10,Greater,Smaller,RandomDot41.png,LeftButton,5
4,both_right.png,10,Greater,Smaller,RandomDot41.png,LeftButton,5
4,both_right.png,10,Smaller,Greater,RandomDot41.png,RightButton,5
4,both_right.png,10,Smaller,Greater,RandomDot41.png,RightButton,5
4,both_right.png,10,Smaller,Greater,RandomDot41.png,RightButton,5
5,both_right.png,10,Greater,Smaller,RandomDot42.png,RightButton,20
5,both_right.png,10,Greater,Smaller,RandomDot42.png,RightButton,19
5,both_right.png,10,Greater,Smaller,RandomDot42.png,RightButton,20
5,both_right.png,10,Smaller,Greater,RandomDot42.png,LeftButton,19
5,both_right.png,10,Smaller,Greater,RandomDot42.png,LeftButton,21
5,both_right.png,10,Smaller,Greater,RandomDot42.png,LeftButton,21